system:index,VH,VV,.geo
54,-18.977402406534548,-8.862303832603224,"{""type"":""Point"",""coordinates"":[79.23591936828093,17.112196484688063]}"
55,-17.312596229337476,-3.8792489572592244,"{""type"":""Point"",""coordinates"":[79.26743577160714,17.036417758256604]}"
56,-19.60083853763822,-11.378152251993312,"{""type"":""Point"",""coordinates"":[79.33440401758072,17.08216991485398]}"
57,-17.775901722097743,-9.803131247964869,"{""type"":""Point"",""coordinates"":[79.18114428953048,17.079750911335136]}"
58,-22.58373352149934,-15.17405368854231,"{""type"":""Point"",""coordinates"":[79.27907642040036,17.143342351835766]}"
59,-19.91881952454678,-12.161280801650046,"{""type"":""Point"",""coordinates"":[79.30320390536755,17.071191762757273]}"
60,-17.93100053968963,-10.677053918616739,"{""type"":""Point"",""coordinates"":[79.26489602059631,16.970101826991726]}"
61,-23.906650172321854,-19.330923512549774,"{""type"":""Point"",""coordinates"":[79.25707300109609,17.044768568247985]}"
62,-16.1364841902401,-3.799904801659446,"{""type"":""Point"",""coordinates"":[79.26098440266199,17.061664538485584]}"
63,-16.344199441285312,-10.635781226961932,"{""type"":""Point"",""coordinates"":[79.31168323494272,16.983744568626747]}"
64,-16.707419914675707,-11.45242661463761,"{""type"":""Point"",""coordinates"":[79.30202946019087,17.013806199142962]}"
65,-19.759382558693474,-9.932376578817179,"{""type"":""Point"",""coordinates"":[79.26759119759824,16.991938056733144]}"
66,-18.1229174329394,-11.2479007305371,"{""type"":""Point"",""coordinates"":[79.29152051996543,17.00109450627676]}"
67,-18.45057891924243,-11.156718867881764,"{""type"":""Point"",""coordinates"":[79.22525013574634,17.120441580503826]}"
68,-19.453317816224626,-11.739121953969063,"{""type"":""Point"",""coordinates"":[79.2298776128893,17.020061788843]}"
69,-18.994596108660083,-10.220080864397627,"{""type"":""Point"",""coordinates"":[79.24745062834454,17.016606365905336]}"
70,-17.42377585366733,-11.738289457769111,"{""type"":""Point"",""coordinates"":[79.24869728544431,17.003313429196577]}"
71,-20.048630797044524,-11.650716720482436,"{""type"":""Point"",""coordinates"":[79.22351345184835,16.992326369216904]}"
72,-19.278959868869393,-10.067282227869745,"{""type"":""Point"",""coordinates"":[79.33811459736846,17.069387400884242]}"
73,-16.80856871455049,-12.544803278777136,"{""type"":""Point"",""coordinates"":[79.19625281394968,17.08487213429666]}"
74,-16.161964363095713,-9.66423371156627,"{""type"":""Point"",""coordinates"":[79.20595130691885,17.104097610893206]}"
75,-17.62982124771358,-11.773613910987187,"{""type"":""Point"",""coordinates"":[79.19761572070654,17.032949840955673]}"
76,-17.855736432845482,-12.514895736328773,"{""type"":""Point"",""coordinates"":[79.29376260130933,17.070836474976485]}"
77,-17.55565061804955,-10.889705628661835,"{""type"":""Point"",""coordinates"":[79.18372309825871,17.027973631235636]}"
78,-20.553880115407356,-10.442396517195291,"{""type"":""Point"",""coordinates"":[79.19847968253072,17.000638741018196]}"
79,-16.77021975493936,-10.452206354626558,"{""type"":""Point"",""coordinates"":[79.26939498251555,17.029858189408383]}"
80,-17.91094150908062,-10.624252150683468,"{""type"":""Point"",""coordinates"":[79.34242846261692,17.0410424258869]}"
81,-23.439821600246805,-16.109183617604984,"{""type"":""Point"",""coordinates"":[79.24738535571292,17.129566404075373]}"
82,-18.83549620750054,-12.35312102520393,"{""type"":""Point"",""coordinates"":[79.32157816869204,17.076509247266195]}"
83,-20.196364588150356,-15.126857756826062,"{""type"":""Point"",""coordinates"":[79.24771580373748,17.128777334281857]}"
84,-19.470605157814703,-12.851997385377022,"{""type"":""Point"",""coordinates"":[79.34226524313927,17.104368235338697]}"
85,-18.368424018572966,-11.39867490936525,"{""type"":""Point"",""coordinates"":[79.24092956779438,17.1268982795421]}"
86,-17.9758554589951,-13.315419186152447,"{""type"":""Point"",""coordinates"":[79.30420227570761,17.133121157594015]}"
87,-17.80314184155719,-10.146831702320807,"{""type"":""Point"",""coordinates"":[79.27906605794787,17.013967048262117]}"
88,-17.278523622931438,-10.500943178222881,"{""type"":""Point"",""coordinates"":[79.35888163509993,17.06474159895613]}"
89,-16.765229429985908,-10.210402328030293,"{""type"":""Point"",""coordinates"":[79.34371556495043,17.05024316399065]}"
90,-18.979987248178723,-9.208716982989827,"{""type"":""Point"",""coordinates"":[79.30557461504947,17.05244675878735]}"
91,-16.257932148989035,-10.266833586633489,"{""type"":""Point"",""coordinates"":[79.2925375365637,17.13690348704037]}"
92,-17.68184534259876,-10.778464057454514,"{""type"":""Point"",""coordinates"":[79.18542952455067,17.03189786746996]}"
93,-20.046584529082295,-12.894175765319037,"{""type"":""Point"",""coordinates"":[79.18073722878496,17.05514846083969]}"
94,-20.152544376897154,-11.579013351686278,"{""type"":""Point"",""coordinates"":[79.31769315927536,17.009536686922733]}"
95,-17.014692417174857,-9.306282449114944,"{""type"":""Point"",""coordinates"":[79.32153066274202,17.0671859657305]}"
96,-18.397484934340525,-10.58993378874617,"{""type"":""Point"",""coordinates"":[79.28056169945712,17.01296846755428]}"
97,-18.577329848813555,-12.360087787183724,"{""type"":""Point"",""coordinates"":[79.31127421329623,17.04233554641085]}"
98,-18.6455931819443,-10.866850031301018,"{""type"":""Point"",""coordinates"":[79.28977619059707,17.09903076206953]}"
99,-19.975903328145062,-12.28083715787246,"{""type"":""Point"",""coordinates"":[79.23284224546869,17.00041265981968]}"
100,-27.222334838218675,-16.25109332284023,"{""type"":""Point"",""coordinates"":[79.24119537472767,17.1429717262423]}"
101,-19.18210128909927,-11.811888948621274,"{""type"":""Point"",""coordinates"":[79.25820702933848,17.11558203380625]}"
102,-18.150282523267066,-12.719373178307746,"{""type"":""Point"",""coordinates"":[79.35051964133949,17.027130944189548]}"
103,-17.07147989511294,-11.354503166863557,"{""type"":""Point"",""coordinates"":[79.28386728176595,17.143380592753182]}"
104,-18.813699629301258,-11.659687468810793,"{""type"":""Point"",""coordinates"":[79.29669856861598,16.997422779761397]}"
105,-13.101407445882076,-8.685714204756442,"{""type"":""Point"",""coordinates"":[79.22061227116359,17.01272546455818]}"
106,-16.93628943572586,-10.442850472810585,"{""type"":""Point"",""coordinates"":[79.22623727061661,17.106672887726138]}"
107,-14.171389548140281,-7.5203876010384585,"{""type"":""Point"",""coordinates"":[79.30879480215201,17.044205445535763]}"
108,-17.925835841230292,-11.239877186094116,"{""type"":""Point"",""coordinates"":[79.32919146326813,17.024047588375947]}"
109,-17.352478984175438,-10.038055799984047,"{""type"":""Point"",""coordinates"":[79.19922265648161,17.029312848509885]}"
110,-16.472822067594887,-9.555793846240178,"{""type"":""Point"",""coordinates"":[79.24615306179595,16.996910416411882]}"
111,-19.246838407581365,-11.414134158148435,"{""type"":""Point"",""coordinates"":[79.30046482908594,17.074639795169585]}"
112,-18.55814906948202,-12.677226414852287,"{""type"":""Point"",""coordinates"":[79.32806810299147,17.118270731371055]}"
113,-19.766001642304296,-12.724106139281723,"{""type"":""Point"",""coordinates"":[79.26595171560105,17.10381035197967]}"
114,-22.153834185517447,-10.502440280898808,"{""type"":""Point"",""coordinates"":[79.2318275658827,17.079614583057907]}"
115,-20.098504361921993,-12.660098690239295,"{""type"":""Point"",""coordinates"":[79.2554209507157,16.969364079234047]}"
116,-15.199139262185447,-7.608370555303364,"{""type"":""Point"",""coordinates"":[79.242295330995,17.105860223409945]}"
117,-22.171246263872135,-13.439553074085712,"{""type"":""Point"",""coordinates"":[79.27930516013514,17.142960334101907]}"
118,-18.880182216424753,-12.884013219439407,"{""type"":""Point"",""coordinates"":[79.28982692396578,17.061967329305336]}"
119,-16.903733461009452,-10.130447881922764,"{""type"":""Point"",""coordinates"":[79.17868854038481,17.07038780879665]}"
120,-17.56533886395498,-8.28259222316588,"{""type"":""Point"",""coordinates"":[79.25994192303257,17.03727937312544]}"
121,-17.033822477778383,-10.75561773596197,"{""type"":""Point"",""coordinates"":[79.21121531674105,17.045572428700055]}"
122,-23.13687656198364,-12.237265798225113,"{""type"":""Point"",""coordinates"":[79.34344031290156,17.080574383175822]}"
123,-10.337940062511654,-6.46785582522193,"{""type"":""Point"",""coordinates"":[79.26433221121968,17.058013901332583]}"
124,-20.740638407270957,-12.387234196604055,"{""type"":""Point"",""coordinates"":[79.23476937063404,17.036992205716935]}"
125,-20.87371571371589,-11.246113421432026,"{""type"":""Point"",""coordinates"":[79.32444091381373,16.993428521425233]}"
126,-18.294027874299697,-12.006199487117312,"{""type"":""Point"",""coordinates"":[79.31521771177188,17.05405026676334]}"
127,-18.013000317794173,-10.878596320573287,"{""type"":""Point"",""coordinates"":[79.24462378481385,17.092628758012687]}"
128,-17.52781305835113,-10.139164439469578,"{""type"":""Point"",""coordinates"":[79.19877775918569,17.068055817161333]}"
129,-19.583441248957985,-10.199725735637998,"{""type"":""Point"",""coordinates"":[79.29825026875868,17.020006540139654]}"
130,-17.72560854064048,-12.2560153943383,"{""type"":""Point"",""coordinates"":[79.23525211078731,17.075079080964123]}"
131,-24.596955142892224,-13.634426581625416,"{""type"":""Point"",""coordinates"":[79.31584519801707,17.02036715923091]}"
132,-17.82067011931426,-11.0286098230974,"{""type"":""Point"",""coordinates"":[79.30707148871689,16.995488472818547]}"
133,-19.459195465550458,-12.228823260611845,"{""type"":""Point"",""coordinates"":[79.29617212554,17.054777849465022]}"
134,-21.33496607904469,-13.748574682657033,"{""type"":""Point"",""coordinates"":[79.32705536035004,17.068515134290358]}"
135,-17.50997366761461,-9.726780726208384,"{""type"":""Point"",""coordinates"":[79.32172614210077,17.111867667745603]}"
136,-17.603464733406568,-11.028098522501498,"{""type"":""Point"",""coordinates"":[79.35564023639806,17.04347502866675]}"
137,-18.678571666112163,-7.246334735362982,"{""type"":""Point"",""coordinates"":[79.18682234163073,17.075500234125347]}"
138,-22.936540970006362,-11.715006658575657,"{""type"":""Point"",""coordinates"":[79.20151066578721,17.04015473050744]}"
139,-14.28116815948756,-8.096423297947542,"{""type"":""Point"",""coordinates"":[79.26072607186224,17.058145879514246]}"
140,-14.954565706562251,-7.8627228747182585,"{""type"":""Point"",""coordinates"":[79.35199365820112,17.06385620321082]}"
141,-17.96194736465902,-12.059871331749317,"{""type"":""Point"",""coordinates"":[79.21868816702748,17.030800157398296]}"
142,-19.18994995043024,-13.428176472705534,"{""type"":""Point"",""coordinates"":[79.315413118068,16.988674547990644]}"
143,-23.80842696914418,-12.492911608174227,"{""type"":""Point"",""coordinates"":[79.2690508757359,16.98501695369571]}"
144,-16.28056252527319,-10.700677270987395,"{""type"":""Point"",""coordinates"":[79.34647582633889,17.07290050929926]}"
145,-20.373958330490908,-9.959740614883506,"{""type"":""Point"",""coordinates"":[79.31947925143389,17.064072654674348]}"
146,-17.57645414290628,-11.963645225407497,"{""type"":""Point"",""coordinates"":[79.25723040071027,17.002539142554827]}"
147,-16.92537457079797,-10.890915886647559,"{""type"":""Point"",""coordinates"":[79.30558659417692,17.06133703579991]}"
148,-18.842330850067505,-11.594868121863765,"{""type"":""Point"",""coordinates"":[79.25729544352757,17.057319829129174]}"
149,-18.18804889356279,-12.30134114901291,"{""type"":""Point"",""coordinates"":[79.35206381050227,17.08624897615186]}"
150,-20.192315836511348,-13.726444969411798,"{""type"":""Point"",""coordinates"":[79.31600865342917,17.063031752687714]}"
151,-13.770093439708598,-6.972067032230673,"{""type"":""Point"",""coordinates"":[79.26893140771197,17.11588329223497]}"
152,-17.516412268217607,-11.383370162267862,"{""type"":""Point"",""coordinates"":[79.33881663959036,17.059036707659335]}"
153,-18.4095492203041,-9.445539938489517,"{""type"":""Point"",""coordinates"":[79.32750583732431,17.07871127254419]}"
154,-17.632769913709364,-10.52111528782071,"{""type"":""Point"",""coordinates"":[79.25442990887436,17.053750795630503]}"
155,-19.456659285246285,-11.516377396649212,"{""type"":""Point"",""coordinates"":[79.32822470944471,17.06115328986586]}"
156,-19.764111087725528,-11.661769617782461,"{""type"":""Point"",""coordinates"":[79.29307839822286,16.98881763109204]}"
157,-22.446242678908458,-13.625362463423865,"{""type"":""Point"",""coordinates"":[79.22051699757574,17.043360968796648]}"
158,-19.11735931440782,-9.971817625477728,"{""type"":""Point"",""coordinates"":[79.30598354924945,17.021108374329433]}"
159,-16.78372870967808,-10.471700860216215,"{""type"":""Point"",""coordinates"":[79.224153612925,17.06836945574605]}"
160,-12.139613148541448,-8.709338382910172,"{""type"":""Point"",""coordinates"":[79.25447378908467,17.089148315752457]}"
161,-20.225722821814696,-14.7626434645004,"{""type"":""Point"",""coordinates"":[79.2702221764779,17.025414068339227]}"
